AP Biology	AC
AP Calculus AB	AC
AP Calculus BC	AC
AP Chemistry	AC
AP Computer Science A	AC
AP Computer Science Principles	AC
AP Environmental Science	AC
AP Language & Composition	AC
AP Language Augmentation	AC
AP Literature & Composition	AC
AP Literature & Composition: Patterns in Black Literature	AC
AP Music Theory	AC
AP Physics 1	AC
AP Physics C	AC
AP Studio Art	AC
AP Studio Art: Photography	AC
AP U.S. History	AC
AP US Government & Politics	AC
AVID	AC
Advanced Ceramics	AC
Advanced Dance/Dance Projects	AC
Advanced Digital Photography	AC
Advanced Robot Build	AC
Advanced Robotics Engineering	AC
Advanced Sound Production	AC
Advanced Theater Projects	AC
African American Economics	AC
African American History 1/2	AC
African Diaspora Advanced Dance	AC
African Diaspora Beginning Dance	AC
American Government	AC
American Literature	AC
Asian American and Pacific Islander Literature	AC
BEST-English	AC
BEST-History	AC
Badminton	AC
Band 1	AC
Band 2	AC
Basketball	AC
Beginning Photography	AC
Biology	AC
Biotechnology 1/2	AC
Biotechnology 3/4	AC
Black Gold, Black Soul: Oral Expressions in African American Culture	AC
Black Psychology and Sociology & Anthropology	AC
CAD Design Studio	AC
Ceramics	AC
Community Service: A Sociological Perspective	AC
Comparative Values and Beliefs	AC
Dramatic Arts/Acting Workshop	AC
ELD 1	AC
ELD 2	AC
ELD 3 - SEI Literature of Diversity	AC
ELD 4 - SEI World Literature	AC
ELD Writing 1	AC
ELD Writing 2	AC
EMT Basic	AC
Economics	AC
English 1	AC
Fire Science	AC
French I	AC
French II	AC
French III	AC
Fundamentals of Carpentry	AC
Global History	AC
Globalization	AC
Graphic Design	AC
Guitar	AC
Honors Anatomy and Physiology	AC
Honors Forensic Science	AC
Integrated Science	AC
Introduction to Carpentry	AC
Introduction to Computer Programming	AC
Introduction to Fitness	AC
Jazz Lab Band I	AC
Jazz Lab Band II	AC
LEAP: College and Career Success Seminar	AC
Latin I	AC
Law and Social Justice I	AC
Law and Social Justice II	AC
Makerspace Engineering - formerly Mechatronics	AC
Mandarin Chinese I	AC
Mandarin Chinese II	AC
Mandarin Chinese III	AC
Music Chorus	AC
Orchestra 1	AC
Orchestra 2	AC
Physics 1	AC
Politics and Power	AC
Pop Culture: Inventing Hip Hop	AC
Psychology	AC
Reading & Writing The Short Story	AC
Reading and Writing Your Way to a Healthier World: Advanced English and Public Health	AC
Robot Build	AC
Robotics Engineering	AC
SEI Biology	AC
SEI Integrated Science	AC
SEI Math 1	AC
SEI Math 2	AC
SEI World History	AC
Soccer	AC
Sociology	AC
Software Engineering: Advanced Topics in Computer Science	AC
Spanish 1: Spanish in the African Diaspora	AC
Spanish For Native Speakers 2	AC
Spanish For Native Speakers 3	AC
Spanish I	AC
Spanish II	AC
Spanish III	AC
Stagecraft Technical Theatre 1/2	AC
Team Sports	AC
Theory of Knowledge 2	AC
U.S. History	AC
World History	AC
World Literature	AC
AHA AP Government	AHA
AHA AP Language & Composition	AHA
AHA AP Literature and Composition	AHA
AHA AP Studio Art	AHA
AHA Advanced Drawing and Painting	AHA
AHA American Literature	AHA
AHA Chemistry	AHA
AHA Economics	AHA
AHA Honors Anatomy and Physiology	AHA
AHA U.S. History	AHA
AHA World History	AHA
AHA World Literature	AHA
AMPS AP Government	AMPS
AMPS AP U.S. History	AMPS
AMPS Chemistry	AMPS
AMPS Economics	AMPS
AMPS Literacy, Advocacy and Public Service: Advanced English in Public Service Work	AMPS
AMPS World History & Cultures	AMPS
AMPS World Literature	AMPS
AHA Chemistry	BIHS
AHA Honors Anatomy and Physiology	BIHS
AMPS Chemistry	BIHS
AP Chinese Language and Culture	BIHS
AP Latin IV	BIHS
AP Macroeconomics	BIHS
AP Statistics	BIHS
AP/IB Spanish Language and Culture	BIHS
AP/IB Spanish Literature and Culture	BIHS
Advanced Drawing and Painting	BIHS
Advanced Math 1	BIHS
Advanced Math 2	BIHS
Advanced Math 3	BIHS
Advanced Photography	BIHS
Advanced Studio Editing	BIHS
Advanced Studio/Editing	BIHS
African American Literature	BIHS
Art of Video Production	BIHS
BIHS Economics	BIHS
BIHS Global Literature	BIHS
Band 3	BIHS
Beginning Modern/Jazz Dance	BIHS
Biological Health Sciences	BIHS
CAS - Computer Art	BIHS
CAS AP U.S. History	BIHS
CAS Anatomy and Physiology	BIHS
CAS BEST History	BIHS
Chemistry	BIHS
Creative Arts	BIHS
Dance Production	BIHS
Digital Photography	BIHS
Digital Sound Engineering	BIHS
Drawing	BIHS
Executive leadership	BIHS
Field Studies	BIHS
French IV	BIHS
French Seminar	BIHS
Government/Economics	BIHS
IB Art History	BIHS
IB Computer Science SL/HL	BIHS
IB Film	BIHS
IB Mandarin B	BIHS
IB Music	BIHS
IB Visual Arts	BIHS
IB-HL English 1	BIHS
IB-HL English 2	BIHS
IB-HL History of the Americas 1	BIHS
IB-HL History of the Americas 2	BIHS
IB-HL Math Analysis and approaches	BIHS
IB-SL Biology	BIHS
IB-SL Economics	BIHS
IB-SL Environmental Systems & Societies	BIHS
IB-SL Math Analysis and approaches	BIHS
IB-SL Math Applications and Interpretations	BIHS
IB-SL Social and Cultural Anthropology	BIHS
IB/AP Art History	BIHS
Jazz Ensemble	BIHS
Latin II	BIHS
Latin III	BIHS
Latinx Literature Studies	BIHS
Math 1	BIHS
Math 2	BIHS
Math 3	BIHS
Orchestra 3	BIHS
Personal Finance: Dream, Plan, Execute, Thrive	BIHS
Production/Acting	BIHS
Publications Jacket	BIHS
Representative leadership	BIHS
Spanish IV	BIHS
Stagecraft Technical Theatre 3/4	BIHS
Theory of Knowledge 1	BIHS
Yearbook Design & Publishing	BIHS
CAS - Computer Art	CAS
CAS AP Language & Composition	CAS
CAS AP Literature & Composition	CAS
CAS AP U.S. History	CAS
CAS Anatomy and Physiology	CAS
CAS BEST History	CAS
CAS Chemistry	CAS
CAS World History and Cultures	CAS
CAS World Literature	CAS
Explorations in Data Science	CAS
Freshman Seminar Humanities: History	CAS
Government/Economics	CAS
IB Computer Science SL/HL	CAS
IB Music	CAS
IB-HL History of the Americas 1	CAS
IB-HL History of the Americas 2	CAS
Introduction to Journalism	CAS
LGBTQIA+ Literature	CAS
Latinx History	CAS
Production/Acting	CAS
SEI Seminar History	CAS
The World of Media	CAS
Theory of Knowledge 1	CAS
